SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/Users/morrisb/.gradle/caches/modules-2/files-2.1/org.apache.logging.log4j/log4j-slf4j-impl/2.5/d1e34a4525e08873703fdaad6c6284f944f8ca8f/log4j-slf4j-impl-2.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/Users/morrisb/.gradle/caches/modules-2/files-2.1/org.slf4j/slf4j-simple/1.7.13/8f0d8b5bf0ff295162360a0a5ebb9c945bd2b685/slf4j-simple-1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/Users/morrisb/.gradle/caches/modules-2/files-2.1/org.slf4j/slf4j-log4j12/1.7.5/6edffc576ce104ec769d954618764f39f0f0f10d/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/Users/morrisb/.gradle/caches/modules-2/files-2.1/org.slf4j/slf4j-log4j12/1.7.13/55517a839e93c29d8a6ce8d8504a3e124e3a5a2f/slf4j-log4j12-1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.apache.logging.slf4j.Log4jLoggerFactory]
ERROR StatusLogger No log4j2 configuration file found. Using default configuration: logging only errors to the console.
10:46:57.237 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - Begin loading Smac2 model
10:47:50.591 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000e8fa078de0c4f944b6c94835ad4a ==> []
10:47:50.591 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000e99bd4a7215df1f1fa8ce01d1689 ==> []
10:47:50.591 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000e99fdb80ed98d384c00472ee0404 ==> []
10:47:50.591 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000e9fa63a6f5d7bcb7ecbaa34281cf ==> []
10:47:50.591 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ea1545370ed2332fff1ffa534360 ==> []
10:47:50.592 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000eaa0a115373a4d364cde46f024e2 ==> []
10:47:50.592 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000eab1da091f718302fd28dacf355c ==> []
10:47:50.592 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000eab7fc112e62fe8fb1945843ff07 ==> []
10:47:50.592 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ead275a23b55325554ac1d6b4862 ==> []
10:47:50.592 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000eade70ea1db3f4fadebf13b5ec5c ==> []
10:47:50.592 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000eb2932d7e1899a88796ef3acccfa ==> []
10:47:50.592 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000eb539b8542e63c3d169804275212 ==> []
10:47:50.592 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000eb5f7a69b8a146065dd7491d6419 ==> []
10:47:50.592 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000eb7c029a299dd7019c9e97968161 ==> []
10:47:50.593 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ebaf49c098febca2f9340a7659c2 ==> []
10:47:50.593 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ebb20cc9e7aa718ea81e55272592 ==> []
10:47:50.593 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ec20186027f96e7db13109a07c8b ==> []
10:47:50.593 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ec7ab47a038b380cce5c09171f18 ==> []
10:47:50.593 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000eceae0bf4b33e6bb47b04f75e414 ==> []
10:47:50.593 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ed30068a3c6836297c1fbfb2166a ==> []
10:47:50.593 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ed7045d478a9e4c1b9da44963ba2 ==> []
10:47:50.593 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ee0d077a66afc66a62290a972cc7 ==> []
10:47:50.593 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ee0dace7a239de0bcd2fb6b0bf5c ==> []
10:47:50.594 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ee4af1c1033cf469746dd2e6bbbf ==> []
10:47:50.594 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ee93c8f6d25c8a081540cd65f885 ==> []
10:47:50.594 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000eeaf6ba86bf945cb9839db6189c9 ==> []
10:47:50.594 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000eed49a5b2d112c1eb5e7583abe40 ==> []
10:47:50.594 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000eedf3fc40c13804a1fbeed58544a ==> []
10:47:50.594 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000eefe377f618edb7a1158c8aa4e4c ==> []
10:47:50.594 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ef2177c5e5b2cbf21d6429b5924a ==> []
10:47:50.594 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ef5526c4a088e108efaf484a3f4c ==> []
10:47:50.594 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ef6957fbfe6bcf5731b1068a0b62 ==> []
10:47:50.595 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ef6e1d84fa7c231b81b1526371b7 ==> []
10:47:50.595 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ef728719065f720b02a7e4ac96be ==> []
10:47:50.595 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ef9de3afae1fd9baf454531d1525 ==> []
10:47:50.595 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f0025eb089ec94610f085a2647e4 ==> []
10:47:50.595 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f01d3a13eeae1d9f08c8e554e745 ==> []
10:47:50.595 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f05842121ab3cae87dc0b3e717a9 ==> []
10:47:50.595 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f06d46170e239b81c3123ffb0870 ==> []
10:47:50.595 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f0fc5d3760ea54d70026f87069c5 ==> []
10:47:50.595 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f128e6fc098cd7f1b224f9d06317 ==> []
10:47:50.596 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f138bc9bb8e01be912e6e2ad9d44 ==> []
10:47:50.596 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f1aa2396dd2db91e0246c35dc97f ==> []
10:47:50.596 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f1bf97fa4db81d2fd73ed1f7f713 ==> []
10:47:50.596 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f1ea24357ccbfb634263d1bdaab9 ==> []
10:47:50.596 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f1f4de746b3e72d0f10a6c85ba5b ==> []
10:47:50.596 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f1f8996e7b82a8952110eea2b326 ==> []
10:47:50.596 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f1f90f539350932651606f5d26bf ==> []
10:47:50.596 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f23172095f49429a7c324453b2ef ==> []
10:47:50.596 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f28f642672d705bdd6e6d3e1be4e ==> []
10:47:50.597 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f29aadc47f120ec036dfabe2ed2c ==> []
10:47:50.597 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f2b271387099e7a02fcb4aa9968a ==> []
10:47:50.597 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f2f77a50277a295016cc71631b9f ==> []
10:47:50.597 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f307312a9a342b67c2dd495926ce ==> []
10:47:50.597 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f3cc2e2b34b4e8eb803700e0172e ==> []
10:47:50.597 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f428e98f8e70ad1c137daf5e6f76 ==> []
10:47:50.597 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f605cc7f1413a494e60a2ee33ca4 ==> []
10:47:50.597 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f652d3e94732e6a84f082a572d7c ==> []
10:47:50.597 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f65bbe591a19b36d855a8e10ecb3 ==> []
10:47:50.597 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f66dd70239387f49586e4d58b167 ==> []
10:47:50.598 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f674f9395dbdc05bb49190b9b0a6 ==> []
10:47:50.598 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f68b2a41d826692ac4bff4ef74f3 ==> []
10:47:50.598 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f68f20760b3eeae9e45c46a1224b ==> []
10:47:50.598 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f6f6db519baff1973c0bdf5fe8fc ==> []
10:47:50.598 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f7073f52b441ada071f0004f647f ==> []
10:47:50.598 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f74930fde1079d6654b90302df93 ==> []
10:47:50.598 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f758338879f3e42a059bc0153986 ==> []
10:47:50.598 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f77208e6882c3ea455011216ecc0 ==> []
10:47:50.598 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f7a968c85be68724881d96451bb7 ==> []
10:47:50.599 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f7b9346303585414782d073aaa96 ==> []
10:47:50.599 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f8175af5ef99b264baad794d6b13 ==> []
10:47:50.599 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f8497b61fa14358d4cd6d933f31d ==> []
10:47:50.599 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f8a539739579d1288f52536833f5 ==> []
10:47:50.599 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f8f5c9592cbf95d3c99772a15dc4 ==> []
10:47:50.599 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f94ab6d13a459e4cc0de0c44dbed ==> []
10:47:50.599 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f99c59a69636662ece8f47770cc7 ==> []
10:47:50.599 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f9b384edbe3c7dddd129f5248b6d ==> []
10:47:50.599 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000f9e9c61fc78ea782410207f8b938 ==> []
10:47:50.600 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fa49ce792cef51fc59a3d0ae9123 ==> []
10:47:50.600 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fa765ad2e9598ce8958d326d8287 ==> []
10:47:50.600 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fad2f1acb5b9e9bb154bb154e9b7 ==> []
10:47:50.600 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fb49f6ce4c91587c2b424c6f7874 ==> []
10:47:50.600 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fb4aec8392a62b0e561e5c647de6 ==> []
10:47:50.600 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fb90390a8b196c65e3224a07acd4 ==> []
10:47:50.600 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fbd092190ffc4c29f5cb1fa33c6e ==> []
10:47:50.600 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fbd4e4bd957105e1fabfa730b6a1 ==> []
10:47:50.600 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fc0d26f6d66b03b7fd3244e4f5a9 ==> []
10:47:50.601 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fc3c0a0f0688467202bf7580065d ==> []
10:47:50.601 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fc49e78415650c64c55c96b6159c ==> []
10:47:50.601 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fc82e18a831942d839e55cb5f5c6 ==> []
10:47:50.601 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fca8e6fc63ce01efe9320b2eefdc ==> []
10:47:50.601 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fcf1371a97b666748548f7ad96aa ==> []
10:47:50.601 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fcfa9cd074b1fcf73b1120213d8f ==> []
10:47:50.601 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fcfb9bb7b5b94ee363104b685439 ==> []
10:47:50.601 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fdcd8346e80c57bd9120f5c57422 ==> []
10:47:50.601 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fe01b51fd774dd0220eb0a9f59b2 ==> []
10:47:50.601 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fe096da3f59d4c2d2c003a724199 ==> []
10:47:50.602 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fe4563d22b91d3741e4f48f91f91 ==> []
10:47:50.602 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fe9e589c25f6b62657611f9f0f95 ==> []
10:47:50.602 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000fef3f6c0c3d51d3f396cf02dd668 ==> []
10:47:50.602 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ff0b3b6b7bd6c0ca752f4d04019a ==> []
10:47:50.602 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ff199734f279aafd2532e796c8fc ==> []
10:47:50.602 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ff4908b2f3f7e8d2d09ebab03e14 ==> []
10:47:50.602 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ff4f732695751912c5ee3f663430 ==> []
10:47:50.602 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 0000ffaec100ee8e895e141ca0d0aeba ==> []
10:47:50.716 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 01000065d23f2c8e861b1294dff4f0a9 ==> [F09828_0, F09828_15394, F09828_15398]
10:47:50.719 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 010000a7e61b71fc0cf606c40eb11cc1 ==> []
10:47:50.725 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 010000e9b5453aca43030547875adfe9 ==> [F09828_0, F09828_14186, L15029_10004]
10:47:50.734 [main] ERROR com.audiencescience.app.smac2.functional.EvaluateProfiles - evaluated: 010000fcebc7a03fbc949d4c53433514 ==> [D08734_70047, D08734_70051, D08734_70056, D08734_70077, D08734_70081, D08734_70085, D08734_70090, D08734_70102, D08734_70657, D08734_70664, D08734_70753, D08734_71697, D08734_71727, D08734_71733, D08734_71735, D08734_71772, D08734_71944, D08734_72086, D08734_72107, D08734_72523, D08734_72525, D08734_72603, D08734_72639, D08734_72658, D08734_72683, D08734_72729, D08734_72734, D08734_72836, D08734_72985, D08734_73269, D08734_73276, D08734_73315, D08734_73862, D08734_73865, D08734_73867, D08734_73868, D08734_73869, D08734_73925, D08734_73947, D08734_74065, D08734_74096, D08734_74097, D08734_74105, D08734_74112, D08734_74493, D08734_74504, D08734_74640, D08734_74675, D08734_74736, D08734_74738, D08734_80163, D08734_80164, D08734_80165, D08734_80166, E12334_0, E12334_10036, E12334_10037, E12334_10039, E12334_10040, E12334_10046, E12334_10047, E12334_10048, E12334_10052, E12334_10055, E12334_10057, E12334_10064, E12334_10077, E12334_10116, E12334_10164, E12334_10258, E12334_10269, E12334_10271, E12334_10273, E12334_10276, E12334_10280, E12334_10283, E12334_10292, E12334_10298, E12334_10300, E12334_10313, E12334_10315, E12334_10336, E12334_10361, E12334_10363, E12334_10364, E12334_10365, E12334_10367, E12334_10371, E12334_10377, E12334_10378, E12334_10379, E12334_10381, E12334_10387, E12334_10397, E12334_10429, E12334_10430, E12334_10432, E12334_10433, E12334_10434, E12334_10436, E12334_10437, E12334_10475, E12334_10477, E12334_10478, E12334_10479, E12334_10480, E12334_10483, E12334_10484, E12334_10494, E12334_10495, E12334_10500, E12334_10502, E12334_10504, E12334_10569, E12334_10578, E12334_10582, E12334_10586, E12334_10593, E12334_10599, E12334_10669, E12334_10680, E12334_10729, E12334_10731, E12334_10732, E12334_10738, E12334_10739, E12334_10743, E12334_10747, E12334_10748, E12334_10757, E12334_10764, E12334_10767, E12334_10768, E12334_10769, E12334_10772, E12334_10799, E12334_10802, E12334_10815, E12334_10816, E12334_10987]
