1511985712  324 5353    359	
1511985722  552 9777    689	
1511985732  825 14207   991	
1511985742  1057    18653	1287	
1511985752	1312    23184	1622	
1511985762	1545    27749	1874	
1511985772	1824    32037	2190
1511985782  1925    37584   2349
1511985792  2139    41439   2594
1511985802  2594    45237   2796
1511985812  2834    49257   2912   
1511985822  3103    53028   3139
1511985832  3392    59742   3438
1511985842  3537    64928   3726
1511985852  3802    67639   4023
1511985862  4106    72830   4403
1511985872  4539    75832   4739
1511985882  4832    78213   5109    
